고장번호,발생일시,등급,발생횟수,고장기간,시스템명,지역,종류,유니트,발생개소,경보항목,발생계위,용도,원인국소,발생국소,조치내역
20231231-01861,2023/12/31-23:57:06,7,8,89,BS해경주전출장소-PTS-0101-01-01,부산/경남NW운용본부,PTNTFM1010,G2TU,S3-P1,ETHER_LINK_DOWN(LOCAL_FAULT),0,가입자전송망,CB항공기술KTF,BS해경주전출장소,유니트교체
20231231-01860,2023/12/31-23:45:01,4,1,1,부산안-MSPP-L-0720-01-01,부산/경남NW운용본부,MSPP3HYK,S1608U,S112-P5-AUG7-AU2,AU3_AIS,AU3,시내전송망,함안,부산안,
20231231-01859,2023/12/31-23:45:01,4,1,1,부산-MSPP-L-0731-01-01_HB01,부산/경남NW운용본부,MSPP3HYK,S1608U,S112-P5-AUG1-AU1,AU3_AIS,AU3,시내전송망,함안,부산안,
20231231-01858,2023/12/31-23:45:01,4,1,1,중부산-MSPP-L-0720-01-01,부산/경남NW운용본부,MSPP3HYK,S1608U,S1122-P5-AUG2-TUG3-TU2,TU12_AIS,TU12,시내전송망,함안,중부산,
20231231-01857,2023/12/31-23:45:01,4,1,1,동래2-MSPP-L-0720-01-01,부산/경남NW운용본부,MSPP3HYK,S6402U(X),S1293-P5-AUG7-AU1,AU3_AIS,AU3,시내전송망,함안,동래2,
20231231-01856,2023/12/31-23:45:01,4,1,1,동래2-MSPP-L-0720-01-01,부산/경남NW운용본부,MSPP3HYK,S1608U,S0512-P5-AUG7-AU3,AU3_AIS,AU3,시내전송망,함안,동래2,
20231231-01855,2023/12/31-23:41:44,4,1,26030,부산안-MSPP-L0719-02-02,부산/경남NW운용본부,MSPP3HYK,S1608U,S0506-P8-AUG3-AU2-TUG7-TU2,TU12_AIS,TU12,시내전송망,거제,부산안,
20231231-01854,2023/12/31-23:41:44,4,1,26030,북부산-MSPP-L0712-01-01-북부산10BLM02,부산/경남NW운용본부,MSPP3HYK,S1608U,S0506-P8-AUG3-AU2-TUG7-TU2,TU12_AIS,TU12,시내전송망,거제,부산안,
20231231-01853,2023/12/31-23:41:44,7,1,26021,금곡-MSPP-L-0104-02-02-북부산BLM02,부산/경남NW운용본부,MSPP3HYK,S0116U,S11-P11,STM1_LOS,STM1,시내전송망,거제,금곡,
20231231-01852,2023/12/31-23:40:06,4,1,25839,남울산-MSPP-L-2307-01-01-울산권2번망,부산/경남NW운용본부,MSPP3HYK,S6402U(X),S090-P1-AUG7-AU1-TUG4-TU1,TU12_AIS,TU12,시내전송망,거제,남울산,
20231231-01851,2023/12/31-23:40:06,7,1,25800,서울산-MSPP-L-0710-01-01-울산권2번방,부산/경남NW운용본부,MSPP3HYK,S0116U,S03-P3,STM1_LOS,STM1,시내전송망,거제,서울산,
