고장번호,발생일시,등급,발생횟수,고장기간,시스템명,지역,종류,유니트,발생개소,경보항목,발생계위,용도,원인국소,발생국소
20240121-01860,2024/01/21-23:45:01,4,1,1,부산안-MSPP-L-0720-01-03,부산/경남NW운용본부,MSPP3HYK,S1608U,S112-P5-AUG7-AU6,AU3_AIS,AU3,시내전송망,함안,부산안
20240121-01859,2024/01/21-23:45:01,4,1,1,부산-MSPP-L-0731-01-01,부산/경남NW운용본부,MSPP3HYK,S1608U,S112-P5-AUG1-AU1,AU3_AIS,AU3,시내전송망,함안,부산안
20240121-01858,2024/01/21-23:45:01,4,1,1,중부산-MSPP-L-0720-01-02,부산/경남NW운용본부,MSPP3HYK,S1608U,S1122-P5-AUG2-TUG3-TU2,TU12_AIS,TU12,시내전송망,함안,중부산
20240121-01857,2024/01/21-23:45:01,4,1,1,동래-MSPP-L-0720-01-01,부산/경남NW운용본부,MSPP3HYK,S6402U(X),S1293-P5-AUG7-AU1,AU3_AIS,AU3,시내전송망,함안,동래
20240121-01856,2024/01/21-23:45:01,4,1,1,동래-MSPP-L-0720-01-01,부산/경남NW운용본부,MSPP3HYK,S1608U,S0512-P5-AUG7-AU3,AU3_AIS,AU3,시내전송망,함안,동래
20240121-01855,2024/01/21-23:41:44,4,1,26030,부산안-MSPP-L0719-02-02,부산/경남NW운용본부,MSPP3HYK,S1608U,S0506-P8-AUG3-AU2-TUG7-TU2,TU12_AIS,TU12,시내전송망,거제,부산안
20240121-01854,2024/01/21-23:41:44,4,1,26030,북부산-MSPP-L0712-01-01,부산/경남NW운용본부,MSPP3HYK,S1608U,S0506-P8-AUG3-AU2-TUG7-TU2,TU12_AIS,TU12,시내전송망,거제,부산안
20240121-01853,2024/01/21-23:41:44,7,1,26021,금곡-MSPP-L-0104-02-02,부산/경남NW운용본부,MSPP3HYK,S0116U,S11-P11,STM1_LOS,STM1,시내전송망,거제,금곡
20240121-01852,2024/01/21-23:40:06,4,1,25839,남울산-MSPP-L-2307-01-01-울산권2번망,부산/경남NW운용본부,MSPP3HYK,S6402U(X),S090-P1-AUG7-AU1-TUG4-TU1,TU12_AIS,TU12,시내전송망,거제,남울산
20240121-01851,2024/01/21-23:40:06,7,1,25800,서울산-MSPP-L-0710-01-01-울산권2번방,부산/경남NW운용본부,MSPP3HYK,S0116U,S03-P3,STM1_LOS,STM1,시내전송망,거제,서울산
20240121-01850,2024/01/21-23:38:06,7,1,11,진주중-MSPP-L-0223-01-01,부산/경남NW운용본부,MSPP3HYK,S6402U(X),S09-P1,STM64_LOF,STM64,시외전송망,파악중,진주중
20240121-01849,2024/01/21-23:37:06,7,1,11,진주중-MSPP-L-0223-01-01,부산/경남NW운용본부,MSPP3HYK,S6402U(X),S09-P1,STM64_LOF,STM64,시외전송망,파악중,진주중
20240121-01848,2024/01/21-23:34:06,7,1,11,진주중-MSPP-L-0223-01-01,부산/경남NW운용본부,MSPP3HYK,S6402U(X),S09-P1,STM64_LOF,STM64,시외전송망,파악중,진주중
20240121-01847,2024/01/20-10:07:26,7,1,152,무림-MSPP-L-0101-01-01,부산/경남NW운용본부,MSPP3HYK,GE08U,S03-P3,CML_ALM_,CML_ALM,시내전송망,파악중,부산안
20240121-01846,2024/01/20-10:02:26,7,30,629,동래-MSPP-L0606-01-01,부산/경남NW운용본부,MSPP3HYK,S0116U,S03-P3,CML_ALM_,CML_ALM,시내전송망,파악중,동래
20240121-01845,2024/01/20-10:01:26,7,1,4291,부산M3-MSPP-L-0101,부산/경남NW운용본부,MSPP3HYK,S6402U(X),S11-P11,MS_RDI,MS,시내전송망,마산중,부산M3
20240121-01844,2024/01/20-09:47:26,7,1,4349,부산M3-MSPP-L-0101,부산/경남NW운용본부,MSPP3HYK,S6402U(X),S07-P3,MS_RDI,MS,시내전송망,부산안,부산M3
20240121-01843,2024/01/20-09:47:26,4,1,26030,부산안-MSPP-L0719-02-02,부산/경남NW운용본부,MSPP3HYK,S1608U,S0506-P8-AUG3-AU2-TUG7-TU2,TU12_AIS,TU12,시내전송망,거제,부산안
20240121-01842,2024/01/20-09:47:26,4,1,26030,북부산-MSPP-L0712-01-01,부산/경남NW운용본부,MSPP3HYK,S1608U,S0506-P8-AUG3-AU2-TUG7-TU2,TU12_AIS,TU12,시내전송망,거제,부산안
20240121-01841,2024/01/20-09:47:26,4,1,26030,부산안-MSPP-L0719-02-02,부산/경남NW운용본부,MSPP3HYK,S1608U,S0506-P8-AUG3-AU2-TUG7-TU2,TU12_AIS,TU12,시내전송망,거제,부산안
